COMPUGROUP MED.SE O.N.;DE0005437305;543730;COP;MDAX
CONTINENTAL AG O.N.;DE0005439004;543900;CON;DAX
CTS EVENTIM KGAA;DE0005470306;547030;EVD;MDAX
LANXESS AG;DE0005470405;547040;LXS;MDAX
VARENGOLD BANK AG;DE0005479307;547930;VG8;DEUTSCHLAND
ISRA VISION O.N.;DE0005488100;548810;ISR;SDAX
UNITED LABELS O.N.;DE0005489561;548956;ULC;DEUTSCHLAND
MASTERFLEX O.N.;DE0005492938;549293;MZX;DEUTSCHLAND
BORUSSIA DORTMUND;DE0005493092;549309;BVB;SDAX
HYPOPORT AG  NA O.N.;DE0005493365;549336;HYQ;SDAX
EQS GROUP AG NA O.N.;DE0005494165;549416;EQS;DEUTSCHLAND
HOLIDAYCHECK GRP AG;DE0005495329;549532;HOC;DEUTSCHLAND
GERATHERM O.N.;DE0005495626;549562;GME;DEUTSCHLAND
DATA MODUL AG O.N.;DE0005498901;549890;DAM;DEUTSCHLAND
A.SPRINGER SE VNA;DE0005501357;550135;SPR;DEUTSCHLAND
DT.GRUNDST.AUKT.AG;DE0005533400;553340;DGR;DEUTSCHLAND
DVS TECHNOLOGY AG INH ON;DE0005538607;553860;DIS;DEUTSCHLAND
1+1 DRILLISCH AG O.N.;DE0005545503;554550;DRI;MDAX
DRAEGERWERK ST.A.O.N.;DE0005550602;555060;DRW8;SDAX
DRAEGERWERK VZO O.N.;DE0005550636;555063;DRW3;SDAX
DEUTSCHE POST AG NA O.N.;DE0005552004;555200;DPW;DAX
DT.TELEKOM AG NA;DE0005557508;555750;DTE;DAX
PARAGON KGAA  INH O.N.;DE0005558696;555869;PGN;DEUTSCHLAND
DUERR AG O.N.;DE0005565204;556520;DUE;MDAX
UMWELTBANK AG O.N.;DE0005570808;557080;UBK;DEUTSCHLAND
DIERIG HOLDING AG O.N.;DE0005580005;558000;DIE;DEUTSCHLAND
EASY SOFTWARE AG;DE0005634000;563400;ESY;DEUTSCHLAND
EDEL SE+CO.KGAA INH O.N.;DE0005649503;564950;EDL;DEUTSCHLAND
EINHELL GERMANY VZO O.N.;DE0005654933;565493;EIN3;DEUTSCHLAND
ECKERT+ZIEGLER AG O.N.;DE0005659700;565970;EUZ;SDAX
EVOTEC SE  INH O.N.;DE0005664809;566480;EVT;MDAX
ELMOS SEMICONDUCTOR AG;DE0005677108;567710;ELG;DEUTSCHLAND
